,sensor_id,sensor_type,location,lat,lon,timestamp,P1,durP1,ratioP1,P2,durP2,ratioP2
61,219,SDS011,94,48.765,9.168,2016-10-29T15:32:21.587752+00:00,34.16,,,31.14,,
62,219,SDS011,94,48.765,9.168,2016-10-29T15:33:20.862614+00:00,36.12,,,34.32,,
63,219,SDS011,94,48.765,9.168,2016-10-29T15:34:19.096454+00:00,34.84,,,29.76,,
64,219,SDS011,94,48.765,9.168,2016-10-29T15:35:16.507653+00:00,32.62,,,31.02,,
65,219,SDS011,94,48.765,9.168,2016-10-29T15:36:14.753721+00:00,31.6,,,28.24,,
66,219,SDS011,94,48.765,9.168,2016-10-29T15:37:14.068150+00:00,25.98,,,24.68,,
67,219,SDS011,94,48.765,9.168,2016-10-29T15:38:12.344159+00:00,27.4,,,26.04,,
68,219,SDS011,94,48.765,9.168,2016-10-29T15:39:10.552238+00:00,30.2,,,25.92,,
69,219,SDS011,94,48.765,9.168,2016-10-29T15:40:08.871598+00:00,24.22,,,23.02,,
70,219,SDS011,94,48.765,9.168,2016-10-29T15:41:07.322743+00:00,24.06,,,22.86,,
71,219,SDS011,94,48.765,9.168,2016-10-29T15:42:07.714456+00:00,27.26,,,24.08,,
72,219,SDS011,94,48.765,9.168,2016-10-29T15:43:03.143265+00:00,25.52,,,24.22,,
73,219,SDS011,94,48.765,9.168,2016-10-29T15:44:02.407769+00:00,26.46,,,21.14,,
74,219,SDS011,94,48.765,9.168,2016-10-29T15:45:01.819047+00:00,24.62,,,23.04,,
75,219,SDS011,94,48.765,9.168,2016-10-29T15:46:00.081511+00:00,22.12,,,20.94,,
76,219,SDS011,94,48.765,9.168,2016-10-29T15:46:59.613778+00:00,22.32,,,21.16,,
77,219,SDS011,94,48.765,9.168,2016-10-29T15:47:59.921278+00:00,22.46,,,20.36,,
78,219,SDS011,94,48.765,9.168,2016-10-29T15:48:58.214970+00:00,22.96,,,21.82,,
79,219,SDS011,94,48.765,9.168,2016-10-29T15:49:57.411840+00:00,26.32,,,22.92,,
80,219,SDS011,94,48.765,9.168,2016-10-29T15:50:56.855246+00:00,23.96,,,22.76,,
81,219,SDS011,94,48.765,9.168,2016-10-29T15:51:57.327261+00:00,27.38,,,23.22,,
82,219,SDS011,94,48.765,9.168,2016-10-29T15:52:56.870348+00:00,23.24,,,22.06,,
83,219,SDS011,94,48.765,9.168,2016-10-29T15:53:57.338166+00:00,28.48,,,24.86,,
84,219,SDS011,94,48.765,9.168,2016-10-29T15:54:57.727618+00:00,24.82,,,22.38,,
85,219,SDS011,94,48.765,9.168,2016-10-29T15:55:57.096468+00:00,26.42,,,24.42,,
86,219,SDS011,94,48.765,9.168,2016-10-29T15:56:55.342072+00:00,29.16,,,25.08,,
87,219,SDS011,94,48.765,9.168,2016-10-29T15:57:54.636904+00:00,25.7,,,23.6,,
88,219,SDS011,94,48.765,9.168,2016-10-29T15:58:52.861094+00:00,26.56,,,23.88,,
89,219,SDS011,94,48.765,9.168,2016-10-29T15:59:53.213700+00:00,24.7,,,23.5,,
90,219,SDS011,94,48.765,9.168,2016-10-29T16:00:51.442337+00:00,27.14,,,24.84,,
91,219,SDS011,94,48.765,9.168,2016-10-29T16:01:50.737548+00:00,28.32,,,25.5,,
92,219,SDS011,94,48.765,9.168,2016-10-29T16:02:50.083965+00:00,23.66,,,22.48,,
93,219,SDS011,94,48.765,9.168,2016-10-29T16:03:48.365291+00:00,29.24,,,24.24,,
94,219,SDS011,94,48.765,9.168,2016-10-29T16:04:48.702239+00:00,22.5,,,20.94,,
95,219,SDS011,94,48.765,9.168,2016-10-29T16:05:46.964892+00:00,23.18,,,22.02,,
96,219,SDS011,94,48.765,9.168,2016-10-29T16:06:45.247380+00:00,22.72,,,21.16,,
97,219,SDS011,94,48.765,9.168,2016-10-29T16:07:44.592602+00:00,26.76,,,25.46,,
98,219,SDS011,94,48.765,9.168,2016-10-29T16:08:43.893735+00:00,26.08,,,23.28,,
99,219,SDS011,94,48.765,9.168,2016-10-29T16:09:43.642755+00:00,23.86,,,20.9,,
100,219,SDS011,94,48.765,9.168,2016-10-29T16:10:42.944480+00:00,27.5,,,22.08,,
101,219,SDS011,94,48.765,9.168,2016-10-29T16:11:42.222164+00:00,29.1,,,25.52,,
102,219,SDS011,94,48.765,9.168,2016-10-29T16:12:41.528259+00:00,30.32,,,24.22,,
103,219,SDS011,94,48.765,9.168,2016-10-29T16:13:40.824292+00:00,28.82,,,25.5,,
104,219,SDS011,94,48.765,9.168,2016-10-29T16:14:39.119909+00:00,27.08,,,25.74,,
105,219,SDS011,94,48.765,9.168,2016-10-29T16:15:37.349083+00:00,29.02,,,23.88,,
106,219,SDS011,94,48.765,9.168,2016-10-29T16:16:35.618399+00:00,24.06,,,21.96,,
107,219,SDS011,94,48.765,9.168,2016-10-29T16:17:33.886156+00:00,28.22,,,25.46,,
108,219,SDS011,94,48.765,9.168,2016-10-29T16:18:32.201259+00:00,29.8,,,23.56,,
109,219,SDS011,94,48.765,9.168,2016-10-29T16:19:31.481288+00:00,26.08,,,21.86,,
110,219,SDS011,94,48.765,9.168,2016-10-29T16:20:29.703907+00:00,28.76,,,25.04,,
111,219,SDS011,94,48.765,9.168,2016-10-29T16:21:30.033356+00:00,26.36,,,24.14,,
112,219,SDS011,94,48.765,9.168,2016-10-29T16:22:30.384891+00:00,25.46,,,21.34,,
113,219,SDS011,94,48.765,9.168,2016-10-29T16:23:29.658431+00:00,25.3,,,23.36,,
114,219,SDS011,94,48.765,9.168,2016-10-29T16:24:27.892601+00:00,25.44,,,22.42,,
115,219,SDS011,94,48.765,9.168,2016-10-29T16:25:26.187242+00:00,26.5,,,22.24,,
116,219,SDS011,94,48.765,9.168,2016-10-29T16:26:24.413289+00:00,24.5,,,22.0,,
117,219,SDS011,94,48.765,9.168,2016-10-29T16:27:22.874098+00:00,26.4,,,21.66,,
118,219,SDS011,94,48.765,9.168,2016-10-29T16:28:22.153125+00:00,27.12,,,22.26,,
119,219,SDS011,94,48.765,9.168,2016-10-29T16:29:21.413679+00:00,22.14,,,20.72,,
120,219,SDS011,94,48.765,9.168,2016-10-29T16:30:20.741119+00:00,23.02,,,20.44,,
121,219,SDS011,94,48.765,9.168,2016-10-29T16:31:18.987028+00:00,25.22,,,23.66,,
122,219,SDS011,94,48.765,9.168,2016-10-29T16:32:19.377282+00:00,22.1,,,21.0,,
123,219,SDS011,94,48.765,9.168,2016-10-29T16:33:17.662272+00:00,25.68,,,23.38,,
124,219,SDS011,94,48.765,9.168,2016-10-29T16:34:16.937560+00:00,24.04,,,22.04,,
125,219,SDS011,94,48.765,9.168,2016-10-29T16:35:16.201370+00:00,26.86,,,25.04,,
126,219,SDS011,94,48.765,9.168,2016-10-29T16:36:14.712005+00:00,25.58,,,22.42,,
127,219,SDS011,94,48.765,9.168,2016-10-29T16:37:13.968503+00:00,21.88,,,20.38,,
128,219,SDS011,94,48.765,9.168,2016-10-29T16:38:13.264453+00:00,24.44,,,20.42,,
129,219,SDS011,94,48.765,9.168,2016-10-29T16:39:12.535372+00:00,25.5,,,21.84,,
130,219,SDS011,94,48.765,9.168,2016-10-29T16:40:12.859826+00:00,23.76,,,22.18,,
131,219,SDS011,94,48.765,9.168,2016-10-29T16:41:11.067339+00:00,28.44,,,24.32,,
132,219,SDS011,94,48.765,9.168,2016-10-29T16:42:10.359025+00:00,27.24,,,25.6,,
133,219,SDS011,94,48.765,9.168,2016-10-29T16:43:08.599313+00:00,24.44,,,23.0,,
134,219,SDS011,94,48.765,9.168,2016-10-29T16:44:06.843613+00:00,26.18,,,23.06,,
135,219,SDS011,94,48.765,9.168,2016-10-29T16:45:05.130536+00:00,27.28,,,24.54,,
136,219,SDS011,94,48.765,9.168,2016-10-29T16:46:03.399966+00:00,27.66,,,23.8,,
137,219,SDS011,94,48.765,9.168,2016-10-29T16:47:01.700068+00:00,25.9,,,21.56,,
138,219,SDS011,94,48.765,9.168,2016-10-29T16:47:59.969393+00:00,32.82,,,25.5,,
139,219,SDS011,94,48.765,9.168,2016-10-29T16:49:00.663287+00:00,27.06,,,23.2,,
140,219,SDS011,94,48.765,9.168,2016-10-29T16:50:01.031916+00:00,28.32,,,23.0,,
141,219,SDS011,94,48.765,9.168,2016-10-29T16:51:00.332263+00:00,32.78,,,25.9,,
142,219,SDS011,94,48.765,9.168,2016-10-29T16:52:00.694145+00:00,25.62,,,23.38,,
143,219,SDS011,94,48.765,9.168,2016-10-29T16:53:01.213610+00:00,34.02,,,24.94,,
144,219,SDS011,94,48.765,9.168,2016-10-29T16:54:00.526587+00:00,24.5,,,23.26,,
145,219,SDS011,94,48.765,9.168,2016-10-29T16:54:58.803743+00:00,30.8,,,25.88,,
146,219,SDS011,94,48.765,9.168,2016-10-29T16:55:57.159318+00:00,24.96,,,22.32,,
147,219,SDS011,94,48.765,9.168,2016-10-29T16:56:57.533053+00:00,29.04,,,24.52,,
148,219,SDS011,94,48.765,9.168,2016-10-29T16:57:55.913528+00:00,28.46,,,24.44,,
149,219,SDS011,94,48.765,9.168,2016-10-29T16:58:54.140929+00:00,28.6,,,26.44,,
150,219,SDS011,94,48.765,9.168,2016-10-29T16:59:54.488555+00:00,30.58,,,26.02,,
151,219,SDS011,94,48.765,9.168,2016-10-29T17:00:53.734987+00:00,29.68,,,24.02,,
152,219,SDS011,94,48.765,9.168,2016-10-29T17:01:52.086456+00:00,29.26,,,26.84,,
153,219,SDS011,94,48.765,9.168,2016-10-29T17:02:52.532881+00:00,30.7,,,25.72,,
154,219,SDS011,94,48.765,9.168,2016-10-29T17:03:51.841309+00:00,26.82,,,25.4,,
155,219,SDS011,94,48.765,9.168,2016-10-29T17:04:52.186580+00:00,29.84,,,22.64,,
156,219,SDS011,94,48.765,9.168,2016-10-29T17:05:50.504442+00:00,29.54,,,25.78,,
157,219,SDS011,94,48.765,9.168,2016-10-29T17:06:49.863376+00:00,32.46,,,27.62,,
158,219,SDS011,94,48.765,9.168,2016-10-29T17:07:50.214601+00:00,30.36,,,25.24,,
159,219,SDS011,94,48.765,9.168,2016-10-29T17:08:48.474168+00:00,32.68,,,26.02,,
160,219,SDS011,94,48.765,9.168,2016-10-29T17:09:48.807176+00:00,26.9,,,24.82,,
161,219,SDS011,94,48.765,9.168,2016-10-29T17:10:49.078216+00:00,26.94,,,23.6,,
162,219,SDS011,94,48.765,9.168,2016-10-29T17:11:48.378751+00:00,25.74,,,23.52,,
163,219,SDS011,94,48.765,9.168,2016-10-29T17:12:47.659281+00:00,24.4,,,22.84,,
164,219,SDS011,94,48.765,9.168,2016-10-29T17:13:46.977127+00:00,29.4,,,26.06,,
165,219,SDS011,94,48.765,9.168,2016-10-29T17:14:46.270320+00:00,29.26,,,25.78,,
166,219,SDS011,94,48.765,9.168,2016-10-29T17:15:44.506482+00:00,31.42,,,25.52,,
167,219,SDS011,94,48.765,9.168,2016-10-29T17:16:44.890000+00:00,33.92,,,27.5,,
168,219,SDS011,94,48.765,9.168,2016-10-29T17:17:44.231961+00:00,32.88,,,27.08,,
169,219,SDS011,94,48.765,9.168,2016-10-29T17:18:42.628585+00:00,31.14,,,25.36,,
170,219,SDS011,94,48.765,9.168,2016-10-29T17:19:42.019726+00:00,30.2,,,27.26,,
171,219,SDS011,94,48.765,9.168,2016-10-29T17:20:40.298498+00:00,30.46,,,26.42,,
172,219,SDS011,94,48.765,9.168,2016-10-29T17:21:38.652862+00:00,33.96,,,28.56,,
173,219,SDS011,94,48.765,9.168,2016-10-29T17:22:38.043568+00:00,41.26,,,27.22,,
174,219,SDS011,94,48.765,9.168,2016-10-29T17:23:38.047789+00:00,30.68,,,23.58,,
175,219,SDS011,94,48.765,9.168,2016-10-29T17:24:38.004608+00:00,35.24,,,30.62,,
176,219,SDS011,94,48.765,9.168,2016-10-29T17:25:32.070306+00:00,33.58,,,28.38,,
177,219,SDS011,94,48.765,9.168,2016-10-29T17:26:32.459802+00:00,36.84,,,29.0,,
178,219,SDS011,94,48.765,9.168,2016-10-29T17:27:30.685620+00:00,33.12,,,28.78,,
179,219,SDS011,94,48.765,9.168,2016-10-29T17:28:28.920783+00:00,29.44,,,27.28,,
180,219,SDS011,94,48.765,9.168,2016-10-29T17:29:28.201384+00:00,28.68,,,26.78,,
181,219,SDS011,94,48.765,9.168,2016-10-29T17:30:28.548297+00:00,35.08,,,29.42,,
182,219,SDS011,94,48.765,9.168,2016-10-29T17:31:26.804257+00:00,31.48,,,27.68,,
183,219,SDS011,94,48.765,9.168,2016-10-29T17:32:26.440205+00:00,26.7,,,23.76,,
184,219,SDS011,94,48.765,9.168,2016-10-29T17:33:25.832055+00:00,31.24,,,27.48,,
185,219,SDS011,94,48.765,9.168,2016-10-29T17:34:26.248522+00:00,35.7,,,30.52,,
186,219,SDS011,94,48.765,9.168,2016-10-29T17:35:26.608004+00:00,31.34,,,26.04,,
187,219,SDS011,94,48.765,9.168,2016-10-29T17:36:25.035665+00:00,38.7,,,29.5,,
188,219,SDS011,94,48.765,9.168,2016-10-29T17:37:24.306266+00:00,30.9,,,26.92,,
189,219,SDS011,94,48.765,9.168,2016-10-29T17:38:22.808170+00:00,30.48,,,25.36,,
